wall_time_s,wall_time_iso,target_timestamp_s,hand_side,frame_id,hand_command,reference_frame,max_iters,eps,target_x,target_y,target_z,target_qx,target_qy,target_qz,target_qw,current_q0,current_q1,current_q2,current_q3,current_q4,current_q5,current_q6,success,has_solution,position_error_m,orientation_error_rad,iterations,solve_time_ms,message,q_target0,q_target1,q_target2,q_target3,q_target4,q_target5,q_target6
1781693674.580919,2026-06-17T18:54:34.580,1781693674.542174,left,base,1,pelvis,200,0.001,-0.0082295,0.270256152,-0.0526815,0.706299168,-0.707912324,0.00102823262,0.000754597968,0,0,0,0,0,0,0,1,1,0.00105058876,0.00444351157,1,0.101935,,0,0,0,0,0,0,0
1781693674.596868,2026-06-17T18:54:34.596,1781693674.542174,left,base,1,pelvis,200,0.001,-0.0082295,0.270256152,-0.0526815,0.706299168,-0.707912324,0.00102823262,0.000754597968,0,0,0,0,0,0,0,1,1,0.00105058876,0.00444351157,1,0.050559,,0,0,0,0,0,0,0
1781693674.613762,2026-06-17T18:54:34.613,1781693674.542174,left,base,1,pelvis,200,0.001,-0.0082295,0.270256152,-0.0526815,0.706299168,-0.707912324,0.00102823262,0.000754597968,0,0,0,0,0,0,0,1,1,0.00105058876,0.00444351157,1,0.061838,,0,0,0,0,0,0,0
1781693674.630320,2026-06-17T18:54:34.630,1781693674.558833,left,base,1,pelvis,200,0.001,-0.0087467,0.269699982,-0.0522585,0.705193796,-0.709007947,0.00298667822,0.000720784056,0,0,0,0,0,0,0,1,1,0.00191209172,0.00942427935,1,0.047795,,0,0,0,0,0,0,0
1781693674.647450,2026-06-17T18:54:34.647,1781693674.558833,left,base,1,pelvis,200,0.001,-0.0087467,0.269699982,-0.0522585,0.705193796,-0.709007947,0.00298667822,0.000720784056,0,0,0,0,0,0,0,1,1,0.00191209172,0.00942427935,1,0.055638,,0,0,0,0,0,0,0
1781693674.664264,2026-06-17T18:54:34.664,1781693674.592444,left,base,1,pelvis,200,0.001,-0.0092239,0.269150007,-0.0519325,0.703925717,-0.710251704,0.00556849111,0.000304811883,0,0,0,0,0,0,0,1,1,0.00269987259,0.0156704762,1,0.063843,,0,0,0,0,0,0,0
1781693674.681146,2026-06-17T18:54:34.681,1781693674.592444,left,base,1,pelvis,200,0.001,-0.0092239,0.269150007,-0.0519325,0.703925717,-0.710251704,0.00556849111,0.000304811883,0,0,0,0,0,0,0,1,1,0.00269987259,0.0156704762,1,0.04996,,0,0,0,0,0,0,0
1781693674.697756,2026-06-17T18:54:34.697,1781693674.642301,left,base,1,pelvis,200,0.001,-0.00975295,0.268452017,-0.0517475,-0.702037786,0.712070696,-0.00988305672,0.000771614013,0,0,0,0,0,0,0,1,1,0.00355309442,0.0258491513,1,0.041953,,0,0,0,0,0,0,0
1781693674.714765,2026-06-17T18:54:34.714,1781693674.642301,left,base,1,pelvis,200,0.001,-0.00975295,0.268452017,-0.0517475,-0.702037786,0.712070696,-0.00988305672,0.000771614013,0,0,0,0,0,0,0,1,1,0.00355309442,0.0258491513,1,0.047335,,0,0,0,0,0,0,0
1781693674.731412,2026-06-17T18:54:34.731,1781693674.642301,left,base,1,pelvis,200,0.001,-0.00975295,0.268452017,-0.0517475,-0.702037786,0.712070696,-0.00988305672,0.000771614013,0,0,0,0,0,0,0,1,1,0.00355309442,0.0258491513,1,0.040671,,0,0,0,0,0,0,0
1781693674.748043,2026-06-17T18:54:34.748,1781693674.675473,left,base,1,pelvis,200,0.001,-0.01022655,0.267712452,-0.0514575,-0.700221455,0.713782612,-0.0141825148,0.00177562885,0,0,0,0,0,0,0,1,1,0.0044634621,0.0359262844,1,0.04822,,0,0,0,0,0,0,0
1781693674.764910,2026-06-17T18:54:34.764,1781693674.675473,left,base,1,pelvis,200,0.001,-0.01022655,0.267712452,-0.0514575,-0.700221455,0.713782612,-0.0141825148,0.00177562885,0,0,0,0,0,0,0,1,1,0.0044634621,0.0359262844,1,0.039239,,0,0,0,0,0,0,0
1781693674.765218,2026-06-17T18:54:34.765,1781693674.692132,right,base,1,pelvis,200,0.001,-0.00768,-0.270748118,-0.05335,0.707388045,0.706824957,0.000562863772,0.000563312174,0,0,0,0,0,0,0,1,1,0,4.31569282e-16,1,0.022792,,0,0,0,0,0,0,0
1781693674.781638,2026-06-17T18:54:34.781,1781693674.675473,left,base,1,pelvis,200,0.001,-0.01022655,0.267712452,-0.0514575,-0.700221455,0.713782612,-0.0141825148,0.00177562885,0,0,0,0,0,0,0,1,1,0.0044634621,0.0359262844,1,0.050455,,0,0,0,0,0,0,0
1781693674.781849,2026-06-17T18:54:34.781,1781693674.692132,right,base,1,pelvis,200,0.001,-0.00768,-0.270748118,-0.05335,0.707388045,0.706824957,0.000562863772,0.000563312174,0,0,0,0,0,0,0,1,1,0,4.31569282e-16,1,0.017732,,0,0,0,0,0,0,0
1781693674.798404,2026-06-17T18:54:34.798,1781693674.675473,left,base,1,pelvis,200,0.001,-0.01022655,0.267712452,-0.0514575,-0.700221455,0.713782612,-0.0141825148,0.00177562885,0,0,0,0,0,0,0,1,1,0.0044634621,0.0359262844,1,0.033048,,0,0,0,0,0,0,0
1781693674.798611,2026-06-17T18:54:34.798,1781693674.692132,right,base,1,pelvis,200,0.001,-0.00768,-0.270748118,-0.05335,0.707388045,0.706824957,0.000562863772,0.000563312174,0,0,0,0,0,0,0,1,1,0,4.31569282e-16,1,0.01856,,0,0,0,0,0,0,0
1781693674.815280,2026-06-17T18:54:34.815,1781693674.742134,left,base,1,pelvis,200,0.001,-0.0107274,0.266458362,-0.051203,-0.697166156,0.71658037,-0.021534115,0.00286459815,0,0,0,0,0,0,0,1,1,0.00305686793,0.0401952585,2,0.095479,,0.00674097501,-0.00349688795,-0.00338792804,-0.00216062285,-0.00338792804,-0.0132349333,-0.00284204175
1781693674.815716,2026-06-17T18:54:34.815,1781693674.758804,right,base,1,pelvis,200,0.001,-0.0078606,-0.271656518,-0.053619,-0.707583165,-0.706629728,-0.000685152926,0.00015424759,0,0,0,0,0,0,0,1,1,0.000964452135,0.0015569622,1,0.027725,,0,0,0,0,0,0,0
1781693674.831812,2026-06-17T18:54:34.831,1781693674.742134,left,base,1,pelvis,200,0.001,-0.0107274,0.266458362,-0.051203,-0.697166156,0.71658037,-0.021534115,0.00286459815,0,0,0,0,0,0,0,1,1,0.00305686793,0.0401952585,2,0.046888,,0.00674097501,-0.00349688795,-0.00338792804,-0.00216062285,-0.00338792804,-0.0132349333,-0.00284204175
1781693674.832114,2026-06-17T18:54:34.832,1781693674.758804,right,base,1,pelvis,200,0.001,-0.0078606,-0.271656518,-0.053619,-0.707583165,-0.706629728,-0.000685152926,0.00015424759,0,0,0,0,0,0,0,1,1,0.000964452135,0.0015569622,1,0.02504,,0,0,0,0,0,0,0
